TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
373.15,43.1909,65.5476,10.2257,-298290.0,373.15,0.000756184,0.05
374.15,42.3909,64.556,14.2246,-300000.0,374.15,0.000762234,0.05
375.15,41.6506,63.6049,19.473,-301640.0,375.15,0.000767781,0.05
376.15,40.9639,62.6923,26.2549,-303210.0,376.15,0.000772882,0.05
377.15,40.3256,61.8166,34.8893,-304710.0,377.15,0.000777587,0.05
378.15,39.731,60.976,45.7282,-306160.0,378.15,0.00078194,0.05
379.15,39.1761,60.169,59.1525,-307540.0,379.15,0.000785977,0.05
380.15,38.6575,59.3941,75.5668,-308880.0,380.15,0.00078973,0.05
381.15,38.1717,58.6497,95.3931,-310150.0,381.15,0.000793227,0.05
382.15,37.7162,57.9346,119.063,-311380.0,382.15,0.000796492,0.05
383.15,37.2884,57.2475,147.008,-312560.0,383.15,0.000799548,0.05
293.15,53.7408,73.9352,1.82144,-288392.0,365.705,0.000614352,0.1
294.15,53.7296,73.9244,1.77673,-288318.0,365.705,0.000615779,0.1
295.15,53.7179,73.9148,1.73352,-288244.0,365.705,0.000617193,0.1
296.15,53.7057,73.9061,1.69175,-288170.0,365.705,0.000618594,0.1
297.15,53.6929,73.8985,1.65137,-288096.0,365.705,0.000619982,0.1
298.15,53.6797,73.8918,1.61231,-288022.0,365.705,0.000621358,0.1
299.15,53.666,73.886,1.57453,-287948.0,365.705,0.00062272,0.1
300.15,53.6518,73.8809,1.53798,-287874.0,365.705,0.00062407,0.1
301.15,53.6371,73.8766,1.5026,-287801.0,365.705,0.000625407,0.1
302.15,53.6219,73.8731,1.46835,-287727.0,365.705,0.000626731,0.1
303.15,53.6063,73.8701,1.43519,-287653.0,365.705,0.000628043,0.1
304.15,53.5902,73.8679,1.40307,-287579.0,365.705,0.000629341,0.1
305.15,53.5737,73.8662,1.37196,-287505.0,365.705,0.000630627,0.1
306.15,53.5568,73.865,1.34182,-287431.0,365.705,0.000631901,0.1
307.15,53.5394,73.8644,1.31261,-287357.0,365.705,0.000633162,0.1
308.15,53.5217,73.8642,1.28429,-287284.0,365.705,0.00063441,0.1
309.15,53.5035,73.8646,1.25684,-287210.0,365.705,0.000635645,0.1
310.15,53.4849,73.8653,1.23021,-287136.0,365.705,0.000636868,0.1
311.15,53.4659,73.8665,1.20439,-287062.0,365.705,0.000638078,0.1
312.15,53.4465,73.868,1.17934,-286988.0,365.705,0.000639276,0.1
313.15,53.4268,73.87,1.15503,-286914.0,365.705,0.000640461,0.1
314.15,53.4066,73.8723,1.13143,-286840.0,365.705,0.000641633,0.1
315.15,53.3861,73.875,1.10853,-286766.0,365.705,0.000642794,0.1
316.15,53.3652,73.8779,1.08629,-286693.0,365.705,0.000643941,0.1
317.15,53.3439,73.8812,1.06469,-286619.0,365.705,0.000645077,0.1
318.15,53.3223,73.8848,1.04371,-286545.0,365.705,0.0006462,0.1
319.15,53.3003,73.8886,1.02333,-286471.0,365.705,0.00064731,0.1
320.15,53.2779,73.8928,1.00352,-286397.0,365.705,0.000648408,0.1
321.15,53.2552,73.8972,0.984275,-286323.0,365.705,0.000649494,0.1
322.15,53.2322,73.9019,0.965565,-286249.0,365.705,0.000650567,0.1
323.15,53.2088,73.9069,0.947373,-286175.0,365.705,0.000651628,0.1
324.15,53.1851,73.9121,0.929683,-286101.0,365.705,0.000652677,0.1
325.15,53.1611,73.9176,0.912478,-286027.0,365.705,0.000653713,0.1
326.15,53.1367,73.9234,0.895741,-285954.0,365.705,0.000654737,0.1
327.15,53.112,73.9293,0.879456,-285880.0,365.705,0.000655749,0.1
